Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Scrm,Yds/Scr,GameDateID
Matt Ryan,ATL,33,46,304,16,32.0,360,7.8,186,5.6,4.0,118,3.6,0,0.0%,6,13.3%,4,10,7,3,2,12.0,Sunday Sep 8 2019-Atlanta Falcons
Kirk Cousins,MIN,8,10,98,4,36.4,51,5.1,56,7.0,5.6,42,5.3,0,0.0%,1,11.1%,1,8,2,2,0,Sunday Sep 8 2019-Minnesota Vikings
