Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Scrm,Yds/Scr,GameDateID
Jimmy Garoppolo,SFO,18,27,166,7,25.0,156,5.8,59,3.3,2.2,107,5.9,0,0.0%,7,25.9%,1,12,3,0,0,,Sunday Sep 8 2019-San Francisco 49ers
Jameis Winston,TAM,20,36,194,10,25.6,315,8.8,104,5.2,2.9,90,4.5,2,5.9%,3,8.8%,3,4,7,4,3,4.7Sunday Sep 8 2019-Tampa Bay Buccaneers
