Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Scrm,Yds/Scr,GameDateID
Deshaun Watson,HOU,20,30,268,12,33.3,325,10.8,178,8.9,5.9,90,4.5,2,6.9%,5,17.2%,6,14,5,4,2,9.5,Monday Sep 9 2019-Houston Texans
Drew Brees,NOR,32,43,370,19,43.2,295,6.9,236,7.4,5.5,134,4.2,1,2.6%,5,12.8%,1,8,5,3,0,Monday Sep 9 2019-New Orleans Saints
