Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Scrm,Yds/Scr,GameDateID
Case Keenum,WAS,30,44,380,15,33.3,324,7.4,194,6.5,4.4,186,6.2,2,4.7%,5,11.6%,1,8,8,7,0,,Sunday Sep 8 2019-Washington Redskins
Carson Wentz,PHI,28,39,313,13,32.5,343,8.8,219,7.8,5.6,94,3.4,2,5.3%,6,15.8%,1,12,2,3,0,Sunday Sep 8 2019-Philadelphia Eagles
