Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Scrm,Yds/Scr,GameDateID
Patrick Mahomes,KAN,25,33,378,13,39.4,184,5.6,116,4.6,3.5,262,10.5,2,6.1%,5,15.2%,0,6,1,4,0,,Sunday Sep 8 2019-Kansas City Chiefs
Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Scrm,Yds/ScrSunday Sep 8 2019-Jacksonville Jaguars
