Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Scrm,Yds/Scr,GameDateID
Eli Manning,NYG,30,44,306,15,33.3,285,6.5,162,5.4,3.7,144,4.8,0,0.0%,9,20.5%,1,11,4,3,1,6.0,Sunday Sep 8 2019-New York Giants
Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Scrm,Yds/ScrSunday Sep 8 2019-Dallas Cowboys
