Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Scrm,Yds/Scr,GameDateID
Aaron Rodgers,GNB,18,30,203,10,28.6,300,10.0,116,6.4,3.9,87,4.8,0,0.0%,5,17.9%,5,8,6,2,1,10.0,Thursday Sep 5 2019-Green Bay Packers
Mitchell Trubisky,CHI,26,45,228,10,20.0,378,8.4,130,5.0,2.9,98,3.8,2,4.5%,8,18.2%,5,17,7,5,2,5.0Thursday Sep 5 2019-Chicago Bears
